stage,delta_us,t_us,dist_cm,value_pct,value_raw
1,100,100,1.7150,100.00,31
2,200,300,5.1450,41.94,13
3,400,700,12.0050,67.74,21
4,400,1100,18.8650,12.90,4
5,600,1700,29.1550,25.81,8
6,600,2300,39.4450,9.68,3
7,1000,3300,56.5950,3.23,1
8,1200,4500,77.1750,3.23,1
9,1400,5900,101.1850,100.00,255
10,1200,7100,121.7650,100.00,255
11,1400,8500,145.7750,100.00,255
12,3200,11700,200.6550,100.00,255
